lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.8725562,-122.2935758,CAFE LEILA,1724 SAN PABLO AVE,12/14/2011,1,0,0,0,0
37.8718678,-122.292749,POPEYES CHICKEN &amp; BISCUITS,1775 SAN PABLO AVE,4/27/2011,1,0,0,0,0
37.8764221,-122.2831122,BERKELEY FOOD PANTRY,1600 SACRAMENTO ST,7/13/2011,0,0,0,1,0
37.8768389,-122.280237,CEDAR MARKET,1601 CALIFORNIA ST,1/10/2012,0,0,0,0,0
37.854859,-122.248377,STAR GROCERY,3068 CLAREMONT AVE,3/19/2012,0,0,0,0,0
37.877884,-122.269292,GUERILLA CAFE,1620 SHATTUCK AVE,2/7/2012,1,0,0,0,0
37.8804627,-122.2691372,DA LIAN RESTAURANT,1674 SHATTUCK AVE,5/17/2012,0,0,0,0,0
37.876817,-122.269297,VIRGINIA BAKERY,1690 SHATTUCK AVE,7/3/2012,0,0,0,1,0
37.8763967,-122.2692408,TASTE OF THE HIMALAYAS,1700 SHATTUCK AVE 101,7/26/2012,0,0,0,0,0
37.8759474,-122.269075,CAFE GRATITUDE,1730 SHATTUCK AVE,6/14/2012,0,0,0,0,0
37.8781201,-122.269333,BERKELEY FARMERS MARKET,0 FARMERS MKT - SHATTUCK AVE,PENDING,-1,-1,-1,-1,-1
37.8756245,-122.2610592,USCA-CENTRAL KITCHEN,2424 RIDGE RD,5/9/2012,0,0,0,0,0
37.875369,-122.259763,LE PETIT MARKET,2509 HEARST AVE,1/4/2012,0,0,0,0,0
37.8755809,-122.259984,CELIA'S MEXICAN RESTAURANT,1841 EUCLID AVE,6/18/2012,0,0,0,1,0
37.875696,-122.2600418,THE STUFFED INN,1829 EUCLID AVE,6/15/2012,0,0,0,1,0
37.8758591,-122.2600736,SEVEN PALMS FOOD CENTER,1801 EUCLID AVE,6/13/2012,0,0,0,0,0
37.8514901,-122.2522741,COLLEGE AVE. WINE &amp; SPIRITS,3179 COLLEGE AVE,5/29/2012,0,0,0,0,0
37.878695,-122.268545,GREGOIRE'S,2109 CEDAR ST,4/26/2012,0,0,0,0,0
37.878594,-122.268788,DARA THAI/LAO CUISINE,1549 SHATTUCK AVE,12/12/2011,0,0,0,0,0
37.878718,-122.26881,CHA AM,1543 SHATTUCK AVE,7/26/2012,0,0,0,0,0
37.8795938,-122.2689348,CHEZ PANNISSE,1517 SHATTUCK AVE,3/27/2012,0,0,0,0,0
37.87967,-122.268879,CESAR,1515 SHATTUCK AVE,12/13/2011,0,0,0,0,0
37.879812,-122.268895,SOOP,1511 SHATTUCK AVE A,5/21/2012,0,0,0,0,0
37.881503,-122.268642,JEWISH COMM.CTR OF THE EASTBAY,1414 WALNUT ST,PENDING,-1,-1,-1,-1,-1
37.881476,-122.269006,CVS PHARMACY,1451 SHATTUCK AVE,6/8/2012,0,0,0,0,0
37.880719,-122.26893,SAUL'S RESTAURANT,1475 SHATTUCK AVE,11/8/2011,0,0,0,0,0
37.880866,-122.268947,TOYO,1463 SHATTUCK AVE,3/13/2012,0,0,0,0,0
37.8511312,-122.2522082,MITAMA,3201-07 COLLEGE AVE,5/21/2012,1,0,0,1,0
37.880399,-122.26993,VEGI FOOD,2085 VINE ST,5/10/2012,0,0,0,0,0
